client,server,timestamp,rtt
ba,ce,1717718941,12.52
ba,ce,1717719217,12.59
ba,ce,1717719722,12.49
ba,ce,1717719841,12.49
ba,ce,1717720185,12.48
ba,ce,1717720537,12.49
ba,ce,1717720714,12.910000000000002
ba,ce,1717720993,12.6
ba,ce,1717721410,12.48
ba,ce,1717721697,12.5
ba,ce,1717721924,12.49
ba,ce,1717722235,12.51
ba,ce,1717722498,12.5
ba,ce,1717722925,12.52
ba,ce,1717723086,12.51
ba,ce,1717723653,12.49
ba,ce,1717723839,12.46
ba,ce,1717723995,13.110000000000003
ba,ce,1717724324,12.52
ba,ce,1717724616,12.470000000000002
ba,ce,1717725126,12.51
ba,ce,1717725303,12.48
ba,ce,1717725762,12.48
ba,ce,1717726099,12.52
ba,ce,1717726485,12.49
ba,ce,1717726821,12.52
ba,ce,1717727249,12.48
ba,ce,1717727812,12.53
ba,ce,1717728003,12.470000000000002
ba,ce,1717728335,12.52
ba,ce,1717728956,12.53
ba,ce,1717729336,12.670000000000002
ba,ce,1717729581,12.620000000000001
ba,ce,1717729831,12.51
ba,ce,1717730249,12.53
ba,ce,1717730326,12.470000000000002
ba,ce,1717730582,12.51
ba,ce,1717731125,12.58
ba,ce,1717731206,12.5
ba,ce,1717731518,12.5
ba,ce,1717731787,12.52
ba,ce,1717732106,12.52
ba,ce,1717732493,12.53
ba,ce,1717732739,12.579999999999998
ba,ce,1717733020,12.5
ba,ce,1717733414,12.51
ba,ce,1717733669,12.5
ba,ce,1717734005,12.49
ba,ce,1717734186,12.51
ba,ce,1717734615,12.620000000000001
ba,ce,1717734883,12.5
ba,ce,1717735362,12.559999999999999
ba,ce,1717735621,12.51
ba,ce,1717735778,12.559999999999999
ba,ce,1717736069,12.520000000000001
ba,ce,1717736310,12.76
ba,ce,1717736810,12.57
ba,ce,1717736950,12.49
ba,ce,1717737462,12.53
ba,ce,1717737628,12.540000000000001
ba,ce,1717737811,12.53
ba,ce,1717738128,12.52
ba,ce,1717738416,13.040000000000001
ba,ce,1717738855,12.55
ba,ce,1717739016,12.78
ba,ce,1717739432,12.54
ba,ce,1717739594,12.51
ba,ce,1717739998,12.55
ba,ce,1717740418,12.489999999999998
ba,ce,1717740720,12.470000000000002
ba,ce,1717740897,12.51
ba,ce,1717741105,12.53
ba,ce,1717741421,12.52
ba,ce,1717741880,12.64
ba,ce,1717742040,12.48
ba,ce,1717742557,12.48
ba,ce,1717742613,12.979999999999999
ba,ce,1717743100,12.52
ba,ce,1717743230,12.499999999999998
ba,ce,1717743572,12.5
ba,ce,1717743845,12.540000000000001
ba,ce,1717744137,12.51
ba,ce,1717744904,12.52
ba,ce,1717745068,12.48
ba,ce,1717745340,12.52
ba,ce,1717745856,12.51
ba,ce,1717745941,12.52
ba,ce,1717746314,12.52
ba,ce,1717746601,12.540000000000001
ba,ce,1717746908,12.559999999999999
ba,ce,1717747191,12.67
ba,ce,1717747631,12.559999999999999
ba,ce,1717747707,12.55
ba,ce,1717748255,12.569999999999999
ba,ce,1717748548,12.48
ba,ce,1717748713,12.540000000000001
