,timestamp,edge,bitrate,rtt
0,2024-06-07 00:02:35,ba-df,323058.25,18.34
1,2024-06-07 00:07:36,ba-df,385048.8,17.840000000000003
2,2024-06-07 00:12:36,ba-df,366947.73333333334,17.830000000000002
3,2024-06-07 00:17:36,ba-df,360345.73333333334,17.860000000000003
4,2024-06-07 00:22:36,ba-df,331049.73333333334,17.82
5,2024-06-07 00:27:36,ba-df,386668.93333333335,17.85
6,2024-06-07 00:32:36,ba-df,329376.73333333334,17.840000000000003
7,2024-06-07 00:37:36,ba-df,376282.5333333333,17.85
8,2024-06-07 00:42:36,ba-df,385924.2,17.86
9,2024-06-07 00:47:36,ba-df,393945.13333333336,17.830000000000002
10,2024-06-07 00:52:35,ba-df,302241.13333333336,17.840000000000003
11,2024-06-07 00:57:35,ba-df,337855.6,17.830000000000002
12,2024-06-07 01:02:35,ba-df,336646.6666666667,17.820000000000004
13,2024-06-07 01:07:35,ba-df,348972.6666666667,18.04
14,2024-06-07 01:12:35,ba-df,319286.0,17.830000000000002
15,2024-06-07 01:17:35,ba-df,282754.6,17.85
16,2024-06-07 01:22:35,ba-df,380771.4,17.85
17,2024-06-07 01:27:35,ba-df,303119.93333333335,17.87
18,2024-06-07 01:32:35,ba-df,321869.93333333335,17.830000000000002
19,2024-06-07 01:37:35,ba-df,347412.06666666665,17.87
20,2024-06-07 01:42:35,ba-df,340116.86666666664,17.830000000000002
21,2024-06-07 01:47:35,ba-df,322461.06666666665,17.860000000000003
22,2024-06-07 01:52:35,ba-df,352786.86666666664,17.830000000000002
23,2024-06-07 01:57:35,ba-df,304027.6,17.840000000000003
24,2024-06-07 02:02:35,ba-df,357084.5333333333,17.830000000000002
25,2024-06-07 02:07:35,ba-df,324405.5333333333,17.860000000000003
26,2024-06-07 02:12:35,ba-df,348543.0,17.880000000000003
27,2024-06-07 02:17:35,ba-df,331357.6666666667,18.12
28,2024-06-07 02:22:35,ba-df,341928.4,17.990000000000002
29,2024-06-07 02:27:35,ba-df,380331.73333333334,17.880000000000003
30,2024-06-07 02:32:35,ba-df,300058.86666666664,17.96
31,2024-06-07 02:37:35,ba-df,333571.26666666666,18.32
32,2024-06-07 02:42:35,ba-df,314287.0,17.87
33,2024-06-07 02:47:36,ba-df,379585.2,17.880000000000003
34,2024-06-07 02:52:36,ba-df,346625.93333333335,17.89
35,2024-06-07 02:57:36,ba-df,303326.6666666667,17.880000000000003
36,2024-06-07 03:02:36,ba-df,322206.86666666664,18.090000000000003
37,2024-06-07 03:07:36,ba-df,328037.2,17.85
38,2024-06-07 03:12:36,ba-df,322269.3333333333,17.89
39,2024-06-07 03:17:36,ba-df,333088.2,17.880000000000003
40,2024-06-07 03:22:36,ba-df,317341.73333333334,17.87
41,2024-06-07 03:27:36,ba-df,327224.5333333333,17.89
42,2024-06-07 03:32:36,ba-df,369487.8,17.87
43,2024-06-07 03:37:36,ba-df,314130.26666666666,17.860000000000003
44,2024-06-07 03:42:36,ba-df,371326.0,17.890000000000004
45,2024-06-07 03:47:36,ba-df,380918.6666666667,17.880000000000003
46,2024-06-07 03:52:36,ba-df,314787.73333333334,17.830000000000002
47,2024-06-07 03:57:36,ba-df,337628.4666666667,17.880000000000003
48,2024-06-07 04:02:36,ba-df,312647.0,17.87
49,2024-06-07 04:07:36,ba-df,326432.86666666664,17.840000000000003
50,2024-06-07 04:12:35,ba-df,379633.26666666666,17.95
51,2024-06-07 04:17:35,ba-df,339640.6,17.840000000000003
52,2024-06-07 04:22:35,ba-df,296930.4666666667,17.85
53,2024-06-07 04:27:35,ba-df,297863.13333333336,17.85
54,2024-06-07 04:32:35,ba-df,350744.8,17.85
55,2024-06-07 04:37:35,ba-df,319738.4,17.880000000000003
56,2024-06-07 04:42:35,ba-df,285816.4666666667,17.880000000000003
57,2024-06-07 04:47:35,ba-df,323482.0,18.23
58,2024-06-07 04:52:35,ba-df,306042.73333333334,17.89
59,2024-06-07 04:57:35,ba-df,357414.86666666664,17.98
60,2024-06-07 05:02:35,ba-df,308614.2,17.880000000000003
61,2024-06-07 05:07:35,ba-df,313232.4666666667,17.9
62,2024-06-07 05:12:35,ba-df,268259.06666666665,17.89
63,2024-06-07 05:17:35,ba-df,323089.6666666667,17.85
64,2024-06-07 05:22:35,ba-df,300180.8,17.880000000000003
65,2024-06-07 05:27:35,ba-df,315284.4666666667,17.880000000000003
66,2024-06-07 05:32:35,ba-df,317058.6,17.869999999999997
67,2024-06-07 05:37:35,ba-df,285664.86666666664,17.880000000000003
68,2024-06-07 05:42:35,ba-df,284588.73333333334,17.880000000000003
69,2024-06-07 05:47:35,ba-df,316455.4666666667,17.9
70,2024-06-07 05:52:35,ba-df,308456.8,17.87
71,2024-06-07 05:57:35,ba-df,322147.6666666667,17.87
72,2024-06-07 06:02:35,ba-df,315577.13333333336,17.880000000000003
73,2024-06-07 06:07:35,ba-df,311718.5333333333,17.94
74,2024-06-07 06:12:35,ba-df,314274.3333333333,17.89
75,2024-06-07 06:17:35,ba-df,320278.86666666664,17.890000000000004
76,2024-06-07 06:22:36,ba-df,346960.26666666666,17.860000000000003
77,2024-06-07 06:27:36,ba-df,316101.86666666664,17.840000000000003
78,2024-06-07 06:32:36,ba-df,308070.5333333333,17.99
79,2024-06-07 06:37:36,ba-df,322394.8,17.93
80,2024-06-07 06:42:36,ba-df,303721.8,17.87
81,2024-06-07 06:47:36,ba-df,307261.2,17.95
82,2024-06-07 06:52:36,ba-df,328794.73333333334,17.83
83,2024-06-07 06:57:36,ba-df,331561.8,18.17
84,2024-06-07 07:02:36,ba-df,335725.73333333334,17.98
85,2024-06-07 07:07:36,ba-df,303840.93333333335,17.880000000000003
86,2024-06-07 07:12:36,ba-df,327289.86666666664,17.87
87,2024-06-07 07:17:36,ba-df,297394.0,17.860000000000003
88,2024-06-07 07:22:35,ba-df,330055.4666666667,17.880000000000003
89,2024-06-07 07:27:35,ba-df,315553.26666666666,18.05
90,2024-06-07 07:32:35,ba-df,333965.73333333334,17.87
91,2024-06-07 07:37:35,ba-df,325638.4,17.89
92,2024-06-07 07:42:35,ba-df,306694.86666666664,17.89
93,2024-06-07 07:47:35,ba-df,338825.06666666665,17.89
94,2024-06-07 07:52:35,ba-df,299917.0,17.89
95,2024-06-07 07:57:35,ba-df,316116.0,17.85
96,2024-06-07 08:02:35,ba-df,293155.86666666664,17.86
97,2024-06-07 08:07:35,ba-df,337792.6,17.919999999999998
98,2024-06-07 08:12:35,ba-df,323171.6666666667,17.89
99,2024-06-07 08:17:35,ba-df,309456.4,17.880000000000003
100,2024-06-07 08:22:35,ba-df,355423.06666666665,18.46
101,2024-06-07 08:27:35,ba-df,280680.93333333335,17.85
102,2024-06-07 08:32:35,ba-df,312008.8,17.919999999999998
103,2024-06-07 08:37:35,ba-df,304709.6,17.93
104,2024-06-07 08:42:35,ba-df,324443.6,17.97
105,2024-06-07 08:47:35,ba-df,302336.13333333336,17.89
106,2024-06-07 08:52:35,ba-df,311161.0,18.78
107,2024-06-07 08:57:35,ba-df,310843.93333333335,17.87
108,2024-06-07 09:02:35,ba-df,313631.73333333334,17.89
109,2024-06-07 09:07:35,ba-df,307280.73333333334,17.840000000000003
110,2024-06-07 09:12:35,ba-df,319783.06666666665,17.880000000000003
111,2024-06-07 09:17:35,ba-df,325754.5333333333,17.91
112,2024-06-07 09:22:36,ba-df,342343.0,17.830000000000002
113,2024-06-07 09:27:36,ba-df,330884.3333333333,18.01
114,2024-06-07 09:32:35,ba-df,323778.6,17.91
115,2024-06-07 09:37:36,ba-df,342766.5333333333,17.91
116,2024-06-07 09:42:36,ba-df,327760.8,17.880000000000003
117,2024-06-07 09:47:36,ba-df,321188.93333333335,17.880000000000003
118,2024-06-07 09:52:36,ba-df,325409.0,17.880000000000003
119,2024-06-07 09:57:36,ba-df,303514.8,17.919999999999998
120,2024-06-07 10:02:36,ba-df,311872.5333333333,17.9
121,2024-06-07 10:07:36,ba-df,325787.4,17.91
122,2024-06-07 10:12:36,ba-df,319777.26666666666,17.91
123,2024-06-07 10:17:36,ba-df,290875.26666666666,17.87
124,2024-06-07 10:22:36,ba-df,305704.86666666664,17.93
125,2024-06-07 10:27:36,ba-df,278667.6666666667,17.880000000000003
126,2024-06-07 10:32:36,ba-df,323525.86666666664,17.9
127,2024-06-07 10:37:36,ba-df,298308.4666666667,17.85
128,2024-06-07 10:42:35,ba-df,299814.13333333336,17.85
129,2024-06-07 10:47:35,ba-df,362840.4666666667,17.85
130,2024-06-07 10:52:35,ba-df,308269.0,17.809999999999995
131,2024-06-07 10:57:35,ba-df,324052.2,17.830000000000002
132,2024-06-07 11:02:35,ba-df,296110.73333333334,17.840000000000003
